target block,0
tree,0,correct:,777,wrong:,223,true positive,183,false positive,109,true negative,594,false negative,114,total:,1000,accuracy:,0.777,sensitivity,0.6161616161616161,specificity,0.844950213371266
tree,1,correct:,765,wrong:,235,true positive,169,false positive,107,true negative,596,false negative,128,total:,1000,accuracy:,0.765,sensitivity,0.569023569023569,specificity,0.8477951635846372
tree,2,correct:,771,wrong:,229,true positive,161,false positive,93,true negative,610,false negative,136,total:,1000,accuracy:,0.771,sensitivity,0.5420875420875421,specificity,0.8677098150782361
tree,3,correct:,766,wrong:,234,true positive,143,false positive,80,true negative,623,false negative,154,total:,1000,accuracy:,0.766,sensitivity,0.48148148148148145,specificity,0.8862019914651493
tree,4,correct:,759,wrong:,241,true positive,158,false positive,102,true negative,601,false negative,139,total:,1000,accuracy:,0.759,sensitivity,0.531986531986532,specificity,0.8549075391180654
forest,3,correct:,804,wrong:,196,true positive,164,false positive,63,true negative,640,false negative,133,total:,1000,accuracy:,0.804,sensitivity,0.5521885521885522,specificity,0.9103840682788051
target block,4
tree,0,correct:,819,wrong:,181,true positive,233,false positive,120,true negative,586,false negative,61,total:,1000,accuracy:,0.819,sensitivity,0.7925170068027211,specificity,0.830028328611898
tree,1,correct:,813,wrong:,187,true positive,228,false positive,121,true negative,585,false negative,66,total:,1000,accuracy:,0.813,sensitivity,0.7755102040816326,specificity,0.8286118980169972
tree,2,correct:,837,wrong:,163,true positive,226,false positive,95,true negative,611,false negative,68,total:,1000,accuracy:,0.837,sensitivity,0.7687074829931972,specificity,0.8654390934844193
